"[.반려견], 부정 텍스트 확률 : 62.92%"
"[ 묘와 하고 싶은], 부정 텍스트 확률 : 61.53%"
"[그래서용인반려동물 사진 혹은 ...? .?용인반려동물스냅샵용인반려동물스냅샵업체 중심으로 찾아보았다 ], 부정 텍스트 확률 : 53.94%"
"[등 방송사에 여러번 출연한 곳이라 해서 믿음이 갔다. . ], 부정 텍스트 확률 : 82.46%"
"[ .강아지 뿐만아니라 말도 된다는 말에 ㅋㅋ.너무 귀여우셨다], 부정 텍스트 확률 : 88.96%"
"[ .들어가자마자 많은 반려동물의 사진이 보였고 같이 가족 찍은 사진도 보였다. ], 부정 텍스트 확률 : 87.52%"
"[ ..사진관에서 찍는 것도 좋으나 전문 반려 사진사와 같이 찍는게 더 좋은이유는 .반려동물에 대한 지식이 많기에], 부정 텍스트 확률 : 95.47%"
"[사람과 다르게 동물은 기다림이 필요하다.. ], 부정 텍스트 확률 : 70.88%"
"[ .도착하자 쓴 설기에 대한 정보😻.좋아하는 말을 쓰라는 부분에서 뭐지? 했는데.나 이유가 있었다..사진찍을때 그 단어에 반응을 하는 백설기님 ], 부정 텍스트 확률 : 81.80%"
"[ .펫더 제인 작가님은 많이 만나기 힘든 여성 사진작가님..그래서 그런지 더 마음이 놓였다. 설기가 하필 소중한 소품에 실수를 해서 속상하셨을텐데..애길 너무 혼내면 사진에 나온다고 그러지말라고 해주시고 죄송하기도 하고 고마웠다. ..직접 만들어서 아이들에게 주고 있다는 간식], 부정 텍스트 확률 : 68.72%"
"[완전 감동...사온 간식보다 맛난지 내가 가지고 온 간식은 보지도 않고 작가님 간식만 쳐다보는 백설기. ], 부정 텍스트 확률 : 77.92%"
"[ .기다려야한다고 애기가 준비될 때까지를 기다려야.사진도 잘나오고 애들도 스트레스 받지 않는다는 말이], 부정 텍스트 확률 : 70.38%"
"[ 이렇게 돌상 사진도 찍을 수 있게 만들어져 있다.진작 알았으면 우리 망고도 데리고와서 찍었을텐데 아쉬웠다.하지만 다음에 프로필 사진 찍으라 망고도 데려와야겠다.편한 느낌을 아는지 동물들이 집에 안가려고 하고 신나게 뛰어다닌다고 하는데우리설기 보면 그말이 맞는 말 같다 ㅋㅋㅋ ], 부정 텍스트 확률 : 88.06%"
