"[ 가격], 부정 텍스트 확률 : 53.29%"
"[ 제가 가장 좋아하는 언박싱...♥그레이 색상으로 선택했는데너무 칙칙하지도 않고 계절에 모두 어울리는생각했던것만큼 예뻤던 그레이 색상아주아주 그레잇구성품은 간단해요유모차본품어댑터레인커버안전가드유모차바퀴저는 똥손이긴 하지만ㅋㅋㅋㅋㅋㅋ참고로 조립 진짜 못하는 인입니다휴대용 유모차는 편리한만큼 조립도 간단할 것 같아서남편찬스 안쓰고 제가 도전해보았어요물론 설명서가 같이 들어있기는 하지만성격 급한 저는 그림을 하나하나 보지는 못하고참고만 하여 빠른 조립에 들어갔습니다ㅋㅋㅋㅋㅋㅋ ], 부정 텍스트 확률 : 83.26%"
"[ 유모차 본품안쪽에 바퀴가 들어있어요바퀴를 품고 있는 조이유모차ㅋㅋㅋㅋ혹시나 바퀴가 왜 안들어있지? 찾으시는분들을 위해미리 말씀드려요당황하지마시고 유모차 품속 바퀴를 찾아주세요ㅋㅋㅋㅋ선으로 연결된듯한 바퀴가 뒷바퀴], 부정 텍스트 확률 : 50.43%"
"[ 바퀴 장착하는 방법은 영상으로 보시는게더 알기 쉬우실 것 같아서 영상으로 찍어봤어요앞바퀴부터 장착하시면 되는데바퀴 보시면 누를 수 있는 부분이 있어요그 부분을 누르시면서 앞쪽에 꽂아주시면 마찬가지로맞아들어가는 소리가 나요유모차 자체가 가벼워서 바퀴 끼우는데도 크게 무리는 없었고], 부정 텍스트 확률 : 98.14%"
"[ 조이 투어리스트는 침대 모드가 가능해요서윤이는 개월이기 때문에드라이빙모드보다는 침대모드를 주로 사용하게 될테지만돌 이후에는 드라이빙 모드까지 가능하니휴대용으로 오래오래 사용가능ㅋㅋㅋㅋㅋ침대모드로 변경하는 방법도 엄청 간단해요뒤쪽 고리만 당겨주면 바로 완성되는 구조..♥도에 가까운 침대모드에 멀티마이크 조절로자유로운 주행모드가 가능하니 서윤이도 너무 편하게 탈 수 있을 거 같아요거기다 바퀴 독립서스펜션에 바구니카시트 호환으로신생아모드도 가능한거보고 물려받지말고처음부터 휴대용유모차로 구입할걸 그랬나봐요ㅠㅠ아기용품이 결국엔 다 짐이 되더라구요ㅋㅋㅋㅋㅋ인펀트 카시트랑 결합이 가능하다고 하니 신생아때는 유모차로도 사용하고 카시트로도 사용하면석 조 절충형 휴대용 유모차로는 완전 최고카시트는 당연 별도구매예요 ], 부정 텍스트 확률 : 81.70%"
"[ 비오는날], 부정 텍스트 확률 : 71.34%"
"[눈오는날], 부정 텍스트 확률 : 52.40%"
"[ 이외에도 아이확인창을 포함한풀차양막에엄마], 부정 텍스트 확률 : 72.44%"
"[ 저는 겨울이다보니 풋머프와 방풍커버도 같이 주문해봤어요너무 쉬운 조립법], 부정 텍스트 확률 : 68.51%"
"[. . . ], 부정 텍스트 확률 : 64.77%"
"[ . . . 토요일임신 주 일차 시작주 주까지는 입원도 한번 하고 병원에 자주 다니느라 정신 없었는데그에 비하면 평온했던 주 ], 부정 텍스트 확률 : 79.47%"
"[ 신랑이랑 치맥 아니지치킨 먹으러ㅠㅠㅠ생맥주 너무 먹고 싶어서 사실 두모금 먹었다], 부정 텍스트 확률 : 53.57%"
"[ 원래도 그렇고 임신하고도 과자는 별로 안땡기고 안먹는 편인데이날따라 초코하임이 생각나는], 부정 텍스트 확률 : 96.88%"
"[ 타이니러브 모빌은 친한 언니에게 빌려놨고흑백모빌은 없어서 요것만 온라인으로 따로 구매했다인형 안에 딸랑이랑 여러 소리나는 재질이 들어있어서 석조ㅋ ], 부정 텍스트 확률 : 80.10%"
"[ 마침 위메프에서 마더스베이비 임산부 속옷 특가하길래 개 더 구매했다소재가 부들부들 하니 조으네.. ], 부정 텍스트 확률 : 86.96%"
"[ 월 일 개천절신랑이랑 생애 첫 베이비페어에 갔다왔다일산 킨텍스에서 일간 진행하는코베 베이비페어월초에 사전등록 신청했다가 신랑이 온라인보다 싸진 않을꺼라 해서 안가는걸로 생각하고 있었는데일날 카톡으로 사전등록 바코드가 와서 신랑에게 얘기했더니 가보자 하네사실 가기 전날밤 배가 너무 아프고 뭉침도 있었는데...원래라면 병원가야 되는데 가면 입원하라 할꺼 같아서 병원안갔다왜냐], 부정 텍스트 확률 : 99.39%"
"[ 사전등록 하거나 베페 어플 설치하면 현장등록이 되서무료로 입장팔찌를 받을 수 있다둘다 없음 입장료 ], 부정 텍스트 확률 : 66.70%"
"[다이치], 부정 텍스트 확률 : 68.97%"
"[순성 요렇게 세 업체가 카시트계의 ], 부정 텍스트 확률 : 68.52%"
"[시그니처], 부정 텍스트 확률 : 74.20%"
"[그리고 새로 출시된 신모델요렇게 가지가 후보였다이 사진은 조이 스핀시그니처 모델랑 시그니처의 차이중 하나는 바로 저 시트의 소재소재가 보단 시그니처가 훨씬 오가닉한 느낌이고 부드럽다소재는 신형보다 시그니처가 더 좋은거 같애], 부정 텍스트 확률 : 99.73%"
"[ 랑 시그니처는 카시트 아랫쪽에 회전버튼이 있고신형은 카시트 양쪽 측면에 회전버튼이 있어서회전에 있어서는 신형이 더 편하긴 하다그리고 랑 시그니처는 까지], 부정 텍스트 확률 : 59.02%"
"[ 절충형으로 알아봤다짧은 시간내 알아본 바로는잉글레시나 트릴로지], 부정 텍스트 확률 : 86.84%"
"[시크 롤리팝], 부정 텍스트 확률 : 53.29%"
"[ 잉글레시나 트릴로지 절충형 미코노스조명어플로 찍어서 색이 좀 밝게 나왔는데원래는 그레이다처음 알아본거라 다른거랑 비교도 안되는 상태였고좋은지 안좋은지 잘 모르는 상태였지만확실한건 폴딩이 간편하다는 사실앞보기와 양대면 시트 교체 방법도 되게 간단하고마치 트렌스포머 같았다 ㅋㅋㅋ페어 첫날이였는데 이 색상말고 이타카 라는 좀더 밝은 베이지 모델은명 선착순으로 ], 부정 텍스트 확률 : 93.91%"
"[ 원에 판매했다와우], 부정 텍스트 확률 : 62.96%"
"[ 잉글레시나 보고 다음으로 본건 리안 솔로 잉글레시나 트릴로지가 .리안 솔로 가.무게적인 면에선 리안이 좀 더 가벼웠다리안 솔로 는 유모차 단품과 카시트 바구니가 호환되는 셋트 판매두가지로 판매 중이였다카시트 바구니는 년 정도 쓸 수 있다고 하네이거 있으면 음식점에서나 밖에서 바구니에 애기 눕혀놨다가잠들어도 유모차에 끼워넣을 수 있다는 점은 좋은거 같다추후 박람회가 아닌 다른곳에 방문했다가 들은건데잉글레시나 트릴로지리안 솔로두 모델의 가장 큰 차이점은. 서스펜스 기능서스펜스 기능이 리안 솔로보다 잉글레시나 트릴로지가 우수하다고 한다잉글레시나 트릴로지의 경우 메인 프레임을 제외하고는손잡이 부분의 프레임이나 다른 프레임이 흔들리는데흔들리길래 이거 왜 흔들리냐고 물어봄], 부정 텍스트 확률 : 50.30%"
"[ ㅋ이게 흔들림으로서 급작스럽게 피하거나 바람불때 이 프레임만 흔들리고아기가 있는곳엔 흔들림이 전혀 없다리안 솔로의 경우 프레임이 일체적으로 단단하여프레임에 가해지는 충격이 아기에게도 그대로 가해진다. 핸들링두 제품을 모두 판매하는 곳의 판매자의 말로는보도블럭과 같은 표면이 매끄럽지 않은 길을 갈때리안 솔로 보다 잉글레시나 트릴로지의 핸들링이 더 좋다고 하셨다. 폴딩잉글레시나 트릴로지의 경우 앞보기], 부정 텍스트 확률 : 81.82%"
"[양대면두경우 모두 폴딩이 가능하지만리안 솔로의 경우 양대면 시에는 폴딩이 불가하고시트를 앞보기 용으로 바꾼 후에 폴딩이 가능하다폴딩 부피를 봐도 잉글레시나 트릴로지가 부피를 덜 차지한다점점 잉글레시나 트릴로지로 마음이 기울고], 부정 텍스트 확률 : 94.68%"
"[속싸개용 등 다용도로 쓴다고 하길래장만 구매해봤다밤부베베?가 천기저귀랑 손수건으로 유명하던데후기들 보니 빨래하고 나면 먼지가 어마어마 하더군], 부정 텍스트 확률 : 80.00%"
"[ 나도 애기 기저귀 용도로 쓸게 아니고 그냥 혹시몰라 어떤용도로든필요시 사용할 목적으로 구매했다먼지가 안난다는 말에 구매결정ㅋㅋ카드구매 했더니 원 플러스ㅠ ], 부정 텍스트 확률 : 69.38%"
"[너무 많이 걸었찌ㅠㅠ ], 부정 텍스트 확률 : 83.16%"
"[ 코베 베이비페어 첫날의 구매품이라곤꼴랑 천기저귀 장과 서랍장 깔개용으로 쓸 순면 장ㅋㅋ소박한 소비신랑이랑 페어 갔다 오는길에카시트랑 유모차 뭘로 구매할지 정하고인터넷 금액이랑 비교해보니페어금액이 더 싸네?인터넷이 최저가 인줄 알았는데우리같은 사람들 때문인지페어에서 파는건 대부분 인터넷 최저가보다 더 싸게 판다는 사실출산도 이제 한달앞으로 다가왔고카시트랑 유모차 구매 시기가 결코 빠른게 아니기에신랑한테 페어에서 사자고 했다 ], 부정 텍스트 확률 : 97.15%"
"[레인커버], 부정 텍스트 확률 : 53.29%"
"[안전가드], 부정 텍스트 확률 : 53.29%"
"[장바구니가 기본구성으로 되있다페어 금액으로 구매하고페어 특별사은품으로 이너시트 ], 부정 텍스트 확률 : 91.13%"
"[ 원랑유모차 모빌인 플레이아치도 겟월 일부터 택배 배송되는데상품 받고 포토후기 올리면 방풍커버 ], 부정 텍스트 확률 : 67.97%"
"[페어 판매자분이 폴딩하는거랑 펴는거], 부정 텍스트 확률 : 53.28%"
"[ 어제 열심히 설명 들었던조이 스핀시그니처로 구매 결정시그니처는 느와르 색상 한가지이다페어 금액으로 구매하고사은품으로 엑스트라시트커버], 부정 텍스트 확률 : 88.13%"
"[어깨벨트커버], 부정 텍스트 확률 : 53.29%"
"[쿨시트 받고나중에 포토후기 올리면 시트 프로텍트 받을 수 있다 하셨다시그니처는 여름용 메쉬소재의 엑스트라시트커버로 교체가 가능하지만신형은 교체가 안된다고 한다유모차와 카시트 후다닥 구매완료ㅋㅋㅋ카시트도 월 일부터 배송된다고 한다 ], 부정 텍스트 확률 : 73.21%"
"[ 아기 로션], 부정 텍스트 확률 : 53.29%"
"[연년생 유모차로너무 많은 장점 을 가진 조이 에발라이트듀오유모차모든것은 이론도 중요하지만실제 경험이 중요하죠제가 사용해본 후기 를 알려드릴게요], 부정 텍스트 확률 : 77.25%"
"[ 유모차에 올려놓고유모차핸들 기둥의시스템 락을 눌러주기만하면흔들림없는 안정적인 주행 이 가능해요 😄 ], 부정 텍스트 확률 : 54.74%"
"[ 요건더블캐노피 장착 모습 입니다.더블캐노피를 사용하면햇빛이 완벽 차단 되는 장점이 있더라구요저는 외출하는날 햇빛이 너무 강한날이어서 더블캐노피로 다녔답니다 ], 부정 텍스트 확률 : 62.96%"
"[ 햇볕이 들어올 틈이 없겠죠 ], 부정 텍스트 확률 : 68.90%"
"[ 이쯤되면 뒷자석 아이만 신경쓴것 같은데요앞좌석 아이도 햇볕으로부터 보호됩니다], 부정 텍스트 확률 : 97.13%"
"[ 이렇게 몸이 다가려질정도로푹 덮어진 차양막보이시나요 이정도면 잠들어도 걱정이 없을것같아요 혹여 답답하지 않을까 걱정하신다면], 부정 텍스트 확률 : 84.42%"
"[안전바가 없어도점식 안전벨트 여서 걱정은😁또하나 좋았던점은성장에 따라서안전벨트으로 키높이 조절 이 되는거였어요.저희 셋째는 아직 어려서젤 아래칸을 사용했어요], 부정 텍스트 확률 : 60.64%"
"[ 사진엔 없지만], 부정 텍스트 확률 : 74.47%"
"[ 이곳저곳 구경하다보니저희 셋째가 배가고파졌는데요.이렇게 뒤로 눕혀서 편안하게 분유를 원샷했어요 앞좌석은도 까지 눕혀지니편안하게 먹을수도있어요먹다가 그대로 자주면 더더욱 땡큐이구요], 부정 텍스트 확률 : 84.74%"
"[ 그리고 정말정말 별 개줘도 아깝지 않은 점이 있었는데요.두개짜리 유모차라서 무겁고 핸들링이 안좋을까봐 젤 걱정되시죠?돌아다니는동안 정말핸들링진짜 좋다고 감탄을 어찌나했는지 좁은공간에서도 휙휙 방향전환이 정말 쉬웠어요], 부정 텍스트 확률 : 62.57%"
"[ 핸들 손잡이를 누르고몸쪽으로 기울여만 주면퀵폴딩 이 가능해요정말 쉽고 빠르지 않나요 😍너무 쉬운 폴딩덕에 아이와 짐을 가지고 하는 외출이두렵지가 않네요 ], 부정 텍스트 확률 : 67.44%"
"[ 폴딩 후 사이즈도컴팩트 해서차 공간을 많이 차지 안하더라구요 😄 ], 부정 텍스트 확률 : 78.55%"
"[.?조이에발라이트듀오조이에발라이트듀오 .?쌍둥이유모차쌍둥이유모차.?연년생유모차연년생유모차 .?듀오유모차듀오유모차.?유아웨건유아웨건.?조이유모차조이유모차.?쌍둥이유모차추천쌍둥이유모차추천.?연년생유모차추천연년생유모차추천.?육아는장비빨육아는장비빨 .?연년생연년생.?다둥이다둥이], 부정 텍스트 확률 : 90.63%"
"[ ..맘앤베이비엑스포에서 처음 봤던 그 유모차.제 깐깐한 조건에 딱 알맞았던 그 유모차.. ], 부정 텍스트 확률 : 66.65%"
"[ .배송은 이렇게 왔는데.택배기사님이 안전하게 배송해주셔서 상자가.부딪히거나 찌그러진부분 하나 없이 와서 놀랬어욬ㅋ ], 부정 텍스트 확률 : 71.73%"
"[ .원래 사은품으로 오는 상품까지 같이 왔어요.조이투어리스트 유모차에 맞는 커버들이 없어서.조이 크롬전용 풋머프가 와서 조금 아쉬웠어요ㅠ.. ], 부정 텍스트 확률 : 58.23%"
"[ .제품 구성은 이렇게.안전바], 부정 텍스트 확률 : 87.08%"
"[ 레인커버], 부정 텍스트 확률 : 53.29%"
"[ 앞바퀴], 부정 텍스트 확률 : 58.74%"
"[ 뒷바퀴], 부정 텍스트 확률 : 53.29%"
"[ 어뎁터], 부정 텍스트 확률 : 53.29%"
"[ .유모차커버], 부정 텍스트 확률 : 62.92%"
"[ .조이 투어리스트 유모차 앞], 부정 텍스트 확률 : 54.74%"
"[ ............... ], 부정 텍스트 확률 : 53.29%"
"[ .앞바퀴가 사실 뒷바퀴보단 아주 조금 작아요.. ], 부정 텍스트 확률 : 66.00%"
"[ ............ ], 부정 텍스트 확률 : 53.29%"
"[ .안전벨트는 당연히. 점식 안전벨트. ], 부정 텍스트 확률 : 78.44%"
"[ .. 점식 안전벨트로 묻고.안전가드로 한번 더 더블로 가.허허ㅓ허허허허허허헣헣ㅎ허허허ㅓ허헣ㅎ허헣ㅎㅎ..안전벨트만 한다고 해서 안전성이 보장되는건 아니에요.벨트는 언제든지 누르면 풀릴 수 있고.혹시라도 사고가 나면 아이가 튕겨서 사고지점 외에곳으로.갈 수 있기때문에 벨트만 채운다는 건 정말 좋지 않아요..안전가드로 한번 더 아이를 감싸주면서.아기가 튕기지 않고 유모차를 나가지 못하게 해줘요...혹시라도 가드가 딱딱해서 아이가 다치면 어쩌죠?.라고 하시는 분들도 계신데.조이 투어리스트 휴대용유모차는 그렇지 않아요.다른 타제품보다 가드가 말랑말랑하고 아이의 .배를 누르지 않아서 괜찮아요..근데 이 안전가드의 단점이 있다면.....한쪽을 뺐을때 도 가드가 돌아가지 않아서.아이를 태울때 양쪽 다 빼서 태워야해요ㅠ.그래서 조금 불편한 것 같아요..... ], 부정 텍스트 확률 : 53.38%"
"[ .ㅎㅎ 사진이랑 영상 찍는데 하늘이는 뭐하나 궁금해서.똑똑해봤는디 과자 먹는다고 반응을 안하네요......쩝...🙍🏻♀️.엄마 속상하다..ㅠ😭. ], 부정 텍스트 확률 : 80.93%"
"[ .가끔은 단계를 쓰지만 왠만하면 단계가 제 키에는.잘 맞더라구요 ], 부정 텍스트 확률 : 80.71%"
"[ 허리에 무리없이.사용가능해요. ], 부정 텍스트 확률 : 65.77%"
"[ .위 사진처럼 조이투어리스트 유모차에는.확장차양막이 으로 우리아기.얼굴에 햇빛 비추지 않게 해줘요 즉], 부정 텍스트 확률 : 74.25%"
"[ .자외선차단이 배로 된다는 점🔍🔍.📌꼭 기억하셔서 유모차 구매할때 참고하세요📌 ], 부정 텍스트 확률 : 71.51%"
"[ ......그래서..조이 투어리스트 휴대용 유모차는.이런 분에게 추천해드려요✿╹◡╹..🔍하늘], 부정 텍스트 확률 : 91.00%"
"[ 꿀벌이 맘처럼 첫휴대용유모차를.조건이 꼼꼼하고 깐깐하게 따져가며 알아보시는분.🔍올해부터 국내여행], 부정 텍스트 확률 : 56.33%"
"[ 육아대디. 혹은 할머니], 부정 텍스트 확률 : 62.92%"
"[ 단점 알아보시고 .안전하고 튼튼한 유모차 찾으시길 바랄게요❤️.....본 제품은 에이원 베이비로부터 제품만을 제공받아.사용 후 솔직하게 개인적인 소견으로 작성된 후기입니다......⬇️..제가 저번주에 하늘이랑 외출을 하다가.저는 몸살기운], 부정 텍스트 확률 : 61.70%"
"[하늘이는 감기를 얻었어요ㅠ.그래서 안그래도 찡찡이인데 감기걸리고 아프니까.더 달라붙어서 외출은 커녕 유모차에 대해 더 알아보지 .못하고 장점], 부정 텍스트 확률 : 97.07%"
"[ 단점을 꼼꼼하고 솔직하게 블로그에 .글을 올리지 못했어요ㅠ 그래도 조만간.제가 더 성실하고 하나부터 열까지.깐깐하게 비교하고 주간 체험해보면서 체험후기.남길테니까 조금만 기다려주셔요🙇🏻♀️🙇🏻♀️☺️☺️.. ], 부정 텍스트 확률 : 86.13%"
"[차양막 다 확인해보고 이건 만원 후반대지만 성능은 디럭스급이라는 생각이 들어서 바로 구입했어요. ], 부정 텍스트 확률 : 83.88%"
"[ 직장 육아선배들은 둘 태우려면 무조건 튼튼한 거여야 한다고 둘째지만 스토케 중고로라도 사서 앉아서 가는 보드 달아서 잠깐 쓰는걸 추천했거든요. 둘을 함께 태우고 다니려면 아무래도 튼튼한 유모차가 좋은데 스토케를 사자니 너무 너무 비싸서 둘째인데 이제 와서 사는건 좀 아니다 싶었고요. 아무래도 중고는 유모차 바퀴 마모도 많이 될텐데 그 가격을 주고 사야하나 싶었어요. 마이크라라이트 투폴드 인용 유모차는 가격대가 만원 가까이 되는데 앞 시트로 가려지니 시야확보가 불편해 보였고요. 옆으로 나란히 타는 쌍둥이유모차는 엘리베이터 탈 때 옆으로 너무 넓어서 불편해 보였기 때문에 아예 고려하지 않았답니다.], 부정 텍스트 확률 : 94.93%"
"[그렇게 버티다 튼튼한 휴대용유모차를 사자는 결론을 내렸고요. 첫째는 등받이없이 앉아서 타는 악세서리 버기보드가 나오는 요요걸로 둘 태우려고 베이비젠 요요 를 둘째 임신하고 출산 전쯤 해서 사뒀었는데], 부정 텍스트 확률 : 96.72%"
"[ 조이에발라이트 듀오 개봉해보면 바퀴는 개가 분리되서 들어 있고], 부정 텍스트 확률 : 60.13%"
"[뒷바퀴를 지지하는 봉 하나], 부정 텍스트 확률 : 57.23%"
