"[한정특가 할인 ], 부정 텍스트 확률 : 75.70%"
"[ 원 코사토 스파 두파 쌍둥이용 유모차▷ 월초특가], 부정 텍스트 확률 : 94.49%"
"[ 원 ▷ 할인], 부정 텍스트 확률 : 53.29%"
"[ 원상품 구매리뷰 후기는아래 링크로 확인해주세요▼▼▼ .. ], 부정 텍스트 확률 : 70.76%"
"[ 이글은 년월일에 작성되었습니다.해당제품의 가격과 할인정보는 몇일에서 변동이 될수 있으며], 부정 텍스트 확률 : 72.07%"
"[ 인기상품은 조기 품절이 되니 유의하시기 바랍니다.좋은 상품 저렴하게 구매하세요.이 포스팅은 제휴마케팅이 포함된 광고로 일정 커미션을 지급 받을 수 있습니다..?코사토코사토.?스파스파.?두파두파.?쌍둥이용쌍둥이용.?유모차유모차.?월초특가월초특가한정특가 할인 ], 부정 텍스트 확률 : 91.86%"
"[ 원 코사토 스파 두파 쌍둥이용 유모차▷ 월초특가 ], 부정 텍스트 확률 : 94.49%"
"[ ..에르고 아기띠 만원선물받았는데 베이비뵨 신생아부터 쓰는 아기띠 있어서 사용안했어요 ...... ......? 본문 이미지...... ......? 본문 이미지...... ......? 본문 이미지...... ......? 본문 이미지. 에르고신생아패드 만원역시 다 있어야하는줄 알고 샀는데한번도 사용안했어요 ...... ......? 본문 이미지...... ......? 본문 이미지...... ......? 본문 이미지. 코사토 이지피스 기저귀갈이대 및 욕조 및 정리함 만원이건 비싸서 망설이긴 했지만 사서 너무나 유용하게 잘샀어요 후기는 찾아보시면 나오고 무슨일인지 사이트에선 판매 안하더라구여기저귀 갈이대 옆면이 터져서 싸게 내놔요욕조랑 물빼는 호수랑 그물로된 장난감 정리대는 거의 사용 안했어요거의 움직이지않는 신생아때는 수건 깔고 기저귀갈이대 위에 올려두면 좋아해서 바운서보다 유용하게 사용했어요...... ......? 본문 이미지...... ......? 본문 이미지...... ......? 본문 이미지...... ......? 본문 이미지...... ......? 본문 이미지.타이니러브모빌 거치대 포함 만천원박스있어요 ...... ......? 본문 이미지.타이니러브 유모차모빌 천원...... ......? 본문 이미지...... ......? 본문 이미지생활기스있어요], 부정 텍스트 확률 : 100.00%"
"[ ♥♥핫딜 코사토 스파 두파 쌍둥이용 유모차], 부정 텍스트 확률 : 96.35%"
"[ 원 ▷ 할인판매가격 ], 부정 텍스트 확률 : 53.29%"
"[ 필수 표기정보 ], 부정 텍스트 확률 : 53.29%"
"[품명 및 모델명], 부정 텍스트 확률 : 53.29%"
"[.스파두파 트윈픽셀], 부정 텍스트 확률 : 77.61%"
"[ 인증 필 유무], 부정 텍스트 확률 : 53.29%"
"[.가로세로높이], 부정 텍스트 확률 : 62.92%"
"[.본체.], 부정 텍스트 확률 : 68.39%"
"[.레인보우], 부정 텍스트 확률 : 62.92%"
"[.알루미늄], 부정 텍스트 확률 : 62.92%"
"[나일론 등], 부정 텍스트 확률 : 71.36%"
"[사용연령 또는 체중범위], 부정 텍스트 확률 : 53.29%"
"[동일모델의 출시년월], 부정 텍스트 확률 : 65.67%"
"[제조자수입자], 부정 텍스트 확률 : 61.97%"
"[.오렌지베이비], 부정 텍스트 확률 : 62.92%"
"[제조국], 부정 텍스트 확률 : 61.97%"
"[.중국], 부정 텍스트 확률 : 85.73%"
"[취급방법 및 취급시 주의사항], 부정 텍스트 확률 : 53.29%"
"[안전표시], 부정 텍스트 확률 : 53.29%"
"[.아이를 유모차에 태운채 혼자 방치하지마십시오.], 부정 텍스트 확률 : 51.70%"
"[품질보증기준], 부정 텍스트 확률 : 53.29%"
"[.제품 이상 시 공정거래위원회 고시 소비자 분쟁해결기준에 의거 보상합니다.], 부정 텍스트 확률 : 72.71%"
"[.쿠팡 ], 부정 텍스트 확률 : 62.92%"
"[ 품절임박 상품평 보기는⬇아래 링크로 확인해주세요⬇▼▼▼ .. ], 부정 텍스트 확률 : 62.38%"
"[ .?코사토코사토.?스파스파.?두파두파.?쌍둥이용쌍둥이용.?유모차유모차 이 포스팅은 제휴마케팅이 포함된 광고로 일정 커미션을 지급 받을 수 있습니다. ], 부정 텍스트 확률 : 88.09%"
"[♡베스트], 부정 텍스트 확률 : 53.29%"
"[ 원코사토 스파 싱글 유모차], 부정 텍스트 확률 : 53.29%"
"[ 제조자수입자 오렌지베이비색상 오렌지동일모델의출시년월 년월취급방법및취급시주의사항], 부정 텍스트 확률 : 65.71%"
"[ 안전표시 아이를유모차에태운채혼자방치하지마십시오.품명및모델명 스파폭스여우중량 본체.옵션부착후.크기 가로세로높이품질보증기준 제품이상시공정거래위원회고시소비자분쟁해결기준에의거보상합니다.제조국 중국인증필유무 ★★★★사용연령또는체중범위 신생아부터개월까지재질 알루미늄], 부정 텍스트 확률 : 93.61%"
"[ 나일론등 ], 부정 텍스트 확률 : 71.36%"
"[ 판매 가격 ], 부정 텍스트 확률 : 53.29%"
"[ 원특가 할인인기 제품을 소개해드렸습니다. ], 부정 텍스트 확률 : 69.49%"
"[베스트 ▷ ], 부정 텍스트 확률 : 53.29%"
"[ 쿠팡에서 구매하기 ], 부정 텍스트 확률 : 80.54%"
"[ 제품 구매리뷰 및 후기는아래 링크로 확인해주세요.▽▽▽ ], 부정 텍스트 확률 : 72.56%"
"[.. ], 부정 텍스트 확률 : 57.07%"
"[제조자수입자], 부정 텍스트 확률 : 61.97%"
"[오렌지베이비], 부정 텍스트 확률 : 53.29%"
"[오렌지], 부정 텍스트 확률 : 53.29%"
"[동일모델의출시년월], 부정 텍스트 확률 : 65.67%"
"[취급방법및취급시주의사항], 부정 텍스트 확률 : 74.20%"
"[ 안전표시], 부정 텍스트 확률 : 53.29%"
"[아이를유모차에태운채혼자방치하지마십시오.], 부정 텍스트 확률 : 50.90%"
"[품명및모델명], 부정 텍스트 확률 : 53.29%"
"[스파폭스여우], 부정 텍스트 확률 : 53.29%"
"[본체.옵션부착후.], 부정 텍스트 확률 : 56.54%"
"[가로세로높이], 부정 텍스트 확률 : 53.29%"
"[품질보증기준], 부정 텍스트 확률 : 53.29%"
"[제품이상시공정거래위원회고시소비자분쟁해결기준에의거보상합니다.], 부정 텍스트 확률 : 84.80%"
"[제조국], 부정 텍스트 확률 : 61.97%"
"[인증필유무], 부정 텍스트 확률 : 53.29%"
"[★★★★], 부정 텍스트 확률 : 53.29%"
"[사용연령또는체중범위], 부정 텍스트 확률 : 53.29%"
"[알루미늄], 부정 텍스트 확률 : 53.29%"
"[ 나일론등], 부정 텍스트 확률 : 71.36%"
"[.. ], 부정 텍스트 확률 : 57.07%"
"[ 미베 베이비엑스포 갈만하네요. 코사토 기저귀정리함 보고옴 ], 부정 텍스트 확률 : 81.64%"
"[년 월 일 금요일부터 월 일 월요일까지], 부정 텍스트 확률 : 75.02%"
"[일산 킨텍스 전시장 홀에서 열리는 유아박람회 미베 베이비엑스포 다녀왔어요. 광복절 연휴주라서 금], 부정 텍스트 확률 : 82.79%"
"[ 월 이렇게 일간 열리네요.], 부정 텍스트 확률 : 79.34%"
"[연휴주 첫날], 부정 텍스트 확률 : 53.29%"
"[평일이라 한산하지 않을까 예상하고 갔는데], 부정 텍스트 확률 : 79.82%"
"[사람들 많이 왔더라고요. 오후 시간에 도착했는데], 부정 텍스트 확률 : 73.42%"
"[전시장 주차장은 만차라서 전시장에 주차하고 입장했네요. 미베 베이비엑스포 주차비 분에 천원이고], 부정 텍스트 확률 : 78.72%"
"[그뒤로 분당 추가요금 원씩 붙는데], 부정 텍스트 확률 : 83.29%"
"[오전에는 선착순 선물도 나눠줘서 사은품도 빵빵하게 챙길 수 있더라고요. ], 부정 텍스트 확률 : 53.92%"
"[돈 안들이고 이용할 수 있는 여러 방법이 있답니다. 홈페이지 회원가입을 해도 되고], 부정 텍스트 확률 : 76.43%"
"[네이버에서 예매하기 해도 되고], 부정 텍스트 확률 : 89.40%"
"[제휴사카드 지참이라든가], 부정 텍스트 확률 : 62.22%"
"[육아어플을 받는 방법 등 현장에 다양한 방법이 제시되어있어요.], 부정 텍스트 확률 : 70.78%"
"[그보다 기저귀교환대 겸 아기욕조 겸 기저귀정리함으로 사용가능한 이지피스가 참 유명해요.], 부정 텍스트 확률 : 83.90%"
"[매트를 들어올리면 욕조가 들어있어서 조심스럽고 힘든 신생아목욕도 수월하게 할 수 있어요. 욕조는 분리가 되는 형태라서 따로 빼서도 사용가능합니다. ], 부정 텍스트 확률 : 82.10%"
"[욕조 호스가 있어서 무겁게 욕조 들어서 물 버릴 필요없이 고정식 이동바퀴를 이용해 욕실근처까지 끌고가서 연결된 호스로 물을 쪼로록 버려주면 되요. ], 부정 텍스트 확률 : 67.84%"
"[기저귀], 부정 텍스트 확률 : 53.29%"
"[물티슈 등을 넣어두면 좋고요. ], 부정 텍스트 확률 : 78.53%"
"[그 아래로는 수납칸이 층층으로 되어 있어서 이것저것 아기용품을 깔끔하고 편하게 보관해두며 사용하기 좋아요. 중간에는 얕은 칸이라 아기옷], 부정 텍스트 확률 : 84.67%"
"[속싸개], 부정 텍스트 확률 : 53.29%"
