"[ 태아보험 들면서 사은품 고르라는데 웨건], 부정 텍스트 확률 : 81.69%"
"[식탁의자], 부정 텍스트 확률 : 53.29%"
"[절충형 유모차], 부정 텍스트 확률 : 53.29%"
"[집도 좁은데 식탁 밑에서 불쑥 튀어나온 의자 다리에 부딪히지 않을까 별의별 생각이 다 드네요 식탁의자 쓰면서 그런 일은 없나요?. 잉글레시나 트립 유모차 남편은 이걸로 하자는데 첫째때 쓰던 퀴니 버즈랑 휴대용 예츠 그대로 있거든요. 버즈는 차에 싣기 무겁고 예츠는 뒤로 안 눕혀져서 낮잠 잘 때 안 좋다고 버즈랑 예츠 쓰는 중간 시기에 트립을 쓰면 어떻겠냐는데 일리 있는 말 같다가도 유모차 개나 있는 건 좀 어리석은 것 같아서요. 트립은 비싸서 본인부담금도 꽤 내야 할 것 같은데...그러면서도 또 제일 도움이 될 것 같기도 하고...어떻게 생각하세요?.힙시트캐리어콜크래프트 휴대용 유모차힙시트가 없긴 한데힙시트캐리어가 너무 후기가 없어서 망설여지네요. 콜크래프트 유모차는 뒤로 눕혀지지 않는대서 지금 있는 휴대용이랑 완전 중복이구요.조언 부탁드려요. 어떤 용품이 제일 쓸모있을까요?], 부정 텍스트 확률 : 99.87%"
"[안녕하세요..?독박육아독박육아.?율둥맘율둥맘 이에요. .?연년생유모차연년생유모차 로 인기가 많은..?쥬비쥬비 브랜드 .아시나요? 율둥맘은 쥬비 유모차를 처음에는 몰랐는데쌍둥이유모차로 유명하다길래 내가 모르는 브랜드가 있었나?? 하고 사진을 보는 순간... 아 했어요. 율둥이 콜크래프트 유모차를 알아보기 위해서 아마존을 뒤질때 나란히형 유모차는 베이비조거], 부정 텍스트 확률 : 74.61%"
"[ 대부분의 휴대용 유모차에서는 폴딩이 쉬워요.하지만 아이들이 함께 쓰는 트레이까지 폴딩이 된다? 율둥이네 윰차보면 늘 느끼는거지만 트레이가 달려있다는 것이 얼마나 중요한지 새삼 깨닫게 되요.], 부정 텍스트 확률 : 96.87%"
"[아이들이 음식을 먹기에도 편하고 물건을 놓기에도 편하고], 부정 텍스트 확률 : 72.28%"
"[물컵을 꽃아놓고 있기도 너무 편해요.그리고 정말 위험한 경우가 생기면 트레이가 안전바의 역할도 하더라구요.율둥이 유모차가 비탈길에서 엎어진 적이 있었는데], 부정 텍스트 확률 : 82.17%"
"[트레이가 안전바의 역할을 해서 율둥이가 안다친 적이 있었거든요. 인용 유모차는 쌍둥이유모차보다 안전성에서는 훨씬 더 취약해요아이의 안전을 생각한다면 트레이 안전바는 필수 입니다. 이런 트레이까지 한번에 접혀서 보관이 가능하다면? 그거야말로 선택 ], 부정 텍스트 확률 : 69.06%"
"[쿠퍼 유모차 장점 . 슬림한 원터치 폴딩], 부정 텍스트 확률 : 80.78%"
