"[킨텍스베이비페어가 열린다길래 출산용품구입차 신랑이랑 아침일찍 서둘러 갔드랬어요조리원에 가지고 갈 것들은 대충 가방에 꾸려 놓았고], 부정 텍스트 확률 : 63.49%"
"[ 유모차랑 아기띠 구입만을 남겨 두고 있었거든요전시장에 도착한 시간이 시가 조금 넘은 시간이였는데도 벌써부터 인파가 바글바글장난 아니더라구요전시장 입구랑 좀 가까운 곳에 주차를 하려고 차를 몇바퀴 돌았는데도 마땅한데가 없어서 좀 떨어진 곳에 주차를 하려고 봤더니 주차요금이 기본 분에 ], 부정 텍스트 확률 : 80.41%"
"[ 원 ㅎㄷㄷ추가분당 원씩 추가라니아기용품 구경만 하더라도 시간 넘게 걸리지 싶은데 이것저것 비교도 하고 구입할려면 최소시간은 걸리잖아요.주차요금 받는 것도 살짝 빈정이 상해 있었는데 말이죠사전등록을 하지 않았다고 입장료 ], 부정 텍스트 확률 : 99.54%"
"[ 원을 내야 전시장에 들어갈 수 있다고 하더라구요이건 좀 아니다 싶어서 그냥 발길을 돌려버렸어요모처럼 휴일을 맞아 신랑이랑 쇼핑을 나온 것이였는데...완전 기분 잡쳐 버렸죠제가 베이비페어를 처음 가는 것이라 사전정보에 대해 너무 몰라서 그랬던 걸까요.그냥 빈손으로 집에 돌아갈순 없고 해서 핸드폰 검색으로 가까운 유아용품할인매장을 알아 보았더니 파주에 베이비플러스 매장이라고 아주 저렴한 곳이라는 후기글이 많더라구요 또 인스타그램도 있어요 거기도 이벤트 행사들을 많이 해서 파주 베플 인스타그램은 필수 인거 같아요주소가이니 참고하세요 ], 부정 텍스트 확률 : 99.32%"
"[ 킨텍스에서 그리 멀지 않는 곳이라 거기로 가보자며 신랑이랑 차를 돌렸답니다.베이비플러스 파주점은 운정신도시 와석순환로 이마트 바로 옆에 위치하고 있었어요.밖에서 볼때는 그리 크지 않아 보였는데 층으로 올라와보니 보기보다 넓고 깔끔하게 꾸며져 있더라구요입구에 여러가지 세일 상품들이 진열되어 있어서 저렴한 매장이 맞긴 맞는구나라는 생각을 하게 되었죠. ], 부정 텍스트 확률 : 99.71%"
"[ 와우저렴하다고해서 그냥 몇가지 아기용품만 갖다놓고 판매를 하는 매장인줄 아랐는데 오만가지유모차들이 싹다 모여 있는걸 보고 깜짝 놀랐어요제가 찜 해두었던 실버크로스스피릿 절충형유모차도 있었구요에그유모차], 부정 텍스트 확률 : 97.06%"
"[ 잉글레시나], 부정 텍스트 확률 : 81.24%"
"[ 베이비젠요요 등등알만한 명품유모차들도 다 있더라구요진짜 싼가...?하고 가격표를 봤는데 인터넷에 나온 최저가 제품보다 훨씬 저렴한 가격에 두번 놀랬다능... ], 부정 텍스트 확률 : 60.31%"
"[ 이래서 출산용품 구입을 할때는 한 두군데만 돌아 다녀선 안된다고들 하는가 봐요힘은 좀 들겠지만 발품을 팔아야 야무지게 쇼핑을 하겠더라구요 ], 부정 텍스트 확률 : 89.48%"
"[ 신랑이랑 얼굴을 마주보며 입이 떠억 벌어져 있는데 매장 직원분께서 찾으시는 유모차가 따로 있으시냐며 물어 보셨어요ㅋㅋ출산준비하러 온 것인데 디럭스 보다는 절충형유모차를 원한다고 실버크로스스피릿을 보여 달라고 부탁을 드렸더니 바로 가지고 오시더군요. ], 부정 텍스트 확률 : 87.07%"
"[ 신생아때부터 타고 다닐껀데 왜 디럭스를 구입하지 않고 절충형유모차를 선택 했냐구요??신생아때는 바깥으로 외출할 일이 별로 없을 것 같기도 하구 출산준비할때 구입한 유모차는 보통 돌 지나서도 사용을 하잖아요?아무래도 디럭스는 저 혼자 들고 다니면서 아이를 태우기가 버거워 보였어요그래서 절충형유모차인데도 디럭스급를 찾다가 실버크로스스피릿을 알게 되었던 거였어요 ], 부정 텍스트 확률 : 98.96%"
"[ 실버크로스스피릿은 절충형인데도 무게가 .밖에 나가지 않구요양대면이 가능한 유모차랍니다.신생아부터 살까지는 충분히 타고 다닐 수 있는 실용적인 제품이죠 ], 부정 텍스트 확률 : 63.78%"
"[ 일단 유모차를 보고 나니 이 매장에 신뢰가 가기 시작하더라구요제가 초보예비엄마이다보니 유아용품에 관한걸 많이 모르는 편인데 매장 직원분께서 유모차를 보여주시면서 장단점을 하나씩 알려주시더라구요얼핏 봤을때 결혼을 하지 않은 아가씨 같았는데... 유모차에 관한걸 어쩜 이리 상세히도 알고 있을까요?ㅋㅋㅋ ], 부정 텍스트 확률 : 71.67%"
"[ 유모차는 해결이 되었으니 다음 코스로 아기띠를 보러 가 보았어요첫 출산이기는 하지만 유모차랑 아기띠 만큼은 오프라인 매장에서 구입을 하는게 가장 바람직하지 않나라는 생각이 들어요직접 착용을 해보고 구입을 해야 하는게 바로 아기띠이니까요아기도 편안해야 하겠지만 매고 다니는 엄마나 아빠 몸에도 맞아야 하거든요착용해볼 수 있는 테스트용 제품들이 쫘악걸려있었어요.아기용품은 디자인보고 골르면 안되지만...그래도 이쁜 디자인부터 손이 가는건 어쩔 수 없나봐요ㅋㅋㅋ ], 부정 텍스트 확률 : 80.55%"
"[ 아기띠], 부정 텍스트 확률 : 53.29%"
"[ 힙시트로 가장 많이 찾는다는 에르고베이비를 먼저 신랑이 착용을 해 보았어요.안고 있는 아가는 없었지만 제법 아빠티가 나더라구요.ㅋㅋ에르고 외에도 포브], 부정 텍스트 확률 : 69.11%"
"[ 토드비], 부정 텍스트 확률 : 90.02%"
"[ 포그내], 부정 텍스트 확률 : 69.63%"
"[ 조리원에 들고갈 용품인 기저귀랑 신생아 배넷저고리], 부정 텍스트 확률 : 68.67%"
"[ 손수건], 부정 텍스트 확률 : 53.29%"
"[ 출산용품], 부정 텍스트 확률 : 53.29%"
"[ 유아용품까지 모조리 판매를 하고 있었고], 부정 텍스트 확률 : 70.48%"
"[제가 구입했던 제품과 동일한 물건들이 훨씬 더 저렴한 가격으로 판매를 하고 있더라구요.게다가 이곳에서는 전국 최저가 제품의 가격을 적용시켜 주는 제도를 시행하고 있었어요.최저가 차액 보상제까지도 운영하고 있었구요 ], 부정 텍스트 확률 : 60.52%"
"[ 젖병소독기도 브랜드가 참 다양했어요제가 알고 있는 브랜드는 유팡], 부정 텍스트 확률 : 61.21%"
"[ 레이퀸], 부정 텍스트 확률 : 53.29%"
"[ 스펙트라 정도 였는데...해님세대도 있고], 부정 텍스트 확률 : 79.14%"
"[ 에코맘 등 처음 들어보는 젖병소독기가 많더라구요갓난아가들은 시간 지켜보며 돌봐야 하는데 젖병소독기같은 효자템이 있으니 엄마들 수고가 어느정도 덜어 지는 것 같아요 ], 부정 텍스트 확률 : 58.57%"
"[ 정신없이 이것저것 둘러보고 있는데 국민출산용품 밤부베베 코너가 따로 마련이 되어 있었어요.거기다 가격까지 최저가로 할인판매꺄홀하나씩 살펴보니 출산용품 가짓수가 워낙 많아서 제가 빠트린 품목들이 제법 있더라구요앞으로 신랑이랑 함께 나올일도 드물텐데 이날 미처 구입하지 못한 물건들을 왕창 구입하고 왔다는거 아니겠어요?ㅋㅋㅋ ], 부정 텍스트 확률 : 94.53%"
"[ 밤부베베 제품으로는 거즈손수건 장 정도], 부정 텍스트 확률 : 80.53%"
"[ 순한대나무 톡톡 아기 포켓 후드타올], 부정 텍스트 확률 : 53.29%"
"[ 카시트를 미리 구입을 할까? 잠시 고민을 했는데], 부정 텍스트 확률 : 79.71%"
"[ 신랑이 두번 세번 걸음 하지말고 그냥 사가자고 하길래 카시트도 살펴보았답니다.유모차만큼은 종류가 없을 줄 알았는데 카시트도 엄청 다양한 브랜드가 종류별로 진열이 되어 있더라구요브랜드만해도 리안], 부정 텍스트 확률 : 97.61%"
"[ 조이], 부정 텍스트 확률 : 53.29%"
"[ 뉴나], 부정 텍스트 확률 : 81.24%"
"[ 브라이택스], 부정 텍스트 확률 : 64.91%"
"[ 순성], 부정 텍스트 확률 : 53.29%"
"[ 다이치], 부정 텍스트 확률 : 68.97%"
"[ 페도라], 부정 텍스트 확률 : 53.29%"
"[ 포브], 부정 텍스트 확률 : 53.29%"
"[ 맥시코시], 부정 텍스트 확률 : 53.29%"
"[ 레카로], 부정 텍스트 확률 : 64.02%"
"[ 바로폴레드 올에이지 이라는 카시트인데요가격은 페도라나 조이 이런 제품과 비슷했어요.올 월에 출시된 카시트라고 하는데 한번의 구입으로 주니어까지 사용이 가능한 획기적인 상품이라 최근에 많은 분들이 폴레드 올에이지 을 찾고 있다고 하네요?와이런 카시트라면 앞으로 카시트시장은 굶어 죽겠어요ㅋㅋㅋ ], 부정 텍스트 확률 : 82.60%"
"[ 직원분이 차량에 부착하는 방법이랑 착용법], 부정 텍스트 확률 : 79.17%"
"[ 사용법을 직접 시범을 보여주셨는데], 부정 텍스트 확률 : 50.64%"
