"[ 돋움 나눔고딕], 긍정 텍스트 확률 : 61.46%"
"[ 돋움장소현대백화점 천호점 문화홀 층나눔고딕], 긍정 텍스트 확률 : 77.19%"
"[ 돋움푸짐한 사은품과 다양한 경품이 준비되어 있습니다.나눔고딕], 긍정 텍스트 확률 : 91.50%"
"[ 돋움당첨자 분들의 많은 참석 바랍니다.나눔고딕], 긍정 텍스트 확률 : 88.43%"
"[ 돋움꼭 확인하셔서 속상하신 일이 없으시도록 당부드립니다. 나눔고딕], 긍정 텍스트 확률 : 61.73%"
"[안녕하세요 두루두루순천여행의 여행지기입니다.오늘은 지난 월 일부터 일까지 진행되었던 순천관광 공식블로그 이벤트순천시 삼행시 이벤트 당첨자 발표가 있는 날 인데요이벤트에 관심가져 주시고 참여해주신 모든 분들께 감사드리며 지금부터 푸짐한 경품 받으실 당첨자분들을 발표해드리도록 하겠습니다.], 긍정 텍스트 확률 : 98.71%"
"[가옹이], 긍정 텍스트 확률 : 50.30%"
"[현주땡], 긍정 텍스트 확률 : 52.19%"
"[세혁아빠], 긍정 텍스트 확률 : 66.41%"
"[귀염둥이꿀떡맘], 긍정 텍스트 확률 : 73.88%"
"[주니비니맘], 긍정 텍스트 확률 : 73.88%"
"[좋은에너지], 긍정 텍스트 확률 : 88.39%"
"[루미의여행일기], 긍정 텍스트 확률 : 52.07%"
"[훌륭이], 긍정 텍스트 확률 : 51.21%"
"[달토깽이], 긍정 텍스트 확률 : 51.21%"
"[민하맘의 육아일기], 긍정 텍스트 확률 : 63.95%"
"[은여니], 긍정 텍스트 확률 : 69.77%"
"[예쁜콩], 긍정 텍스트 확률 : 88.10%"
"[꿈을 그리는 이], 긍정 텍스트 확률 : 89.24%"
"[유니아], 긍정 텍스트 확률 : 59.03%"
"[기드래봉], 긍정 텍스트 확률 : 77.88%"
"[엄마의정원], 긍정 텍스트 확률 : 53.00%"
"[오늘 하루를 즐겨라], 긍정 텍스트 확률 : 80.69%"
"[송남매맘], 긍정 텍스트 확률 : 73.88%"
"[엄마의 하루], 긍정 텍스트 확률 : 60.77%"
"[태양의노래], 긍정 텍스트 확률 : 83.08%"
"[수연짱], 긍정 텍스트 확률 : 91.44%"
"[행복한 네잎클로버], 긍정 텍스트 확률 : 92.58%"
"[섬친구 운찬 규진 맘], 긍정 텍스트 확률 : 65.55%"
"[일상의 행복], 긍정 텍스트 확률 : 52.07%"
"[루루루냥냥이], 긍정 텍스트 확률 : 51.21%"
"[돋치야], 긍정 텍스트 확률 : 62.87%"
"[알랑가몰라], 긍정 텍스트 확률 : 55.07%"
"[를 누르신 후 본인의 닉네임을 검색 하여 보다 쉽게 당첨 사실 여부를 확인해보세요 ], 긍정 텍스트 확률 : 71.97%"
