제조사,like
케이맘,54.67723179680687
베베몬,53.981860150036376
오로라,52.85555124627101
유트러스,52.470561832619424
키즈디조이,52.17394685415181
오보소,51.78833707388533
팸퍼스,51.283801061585606
토디앙,51.01485942904712
마미포코,50.789465530129604
킷앤킨,50.672903941631084
세한,50.36557653921179
아이씨프로젝트,49.985330456984066
수안산업,49.834815643644056
슈퍼대디,49.43288836808322
에이메르네이쳐,49.31012020191079
대디베이비,49.152431221486495
네추럴블라썸,48.811044560976214
네이쳐러브메레,48.01409164784211
페넬로페,47.9939609264982
아이엠트루,47.93019026985714
BB DISTRIBE,47.9031631640271
로맘스,47.802090274121326
참사랑,47.72023342003428
보솜이,47.68716468655967
모나리자,47.64326161874045
앙블랑,47.64304214309674
무미,47.58099167714611
모모래빗,47.4474564985407
큐비앤맘,47.35062745712194
밤보,47.2634135560635
하기스,47.19496381384843
베베린도,47.174284018093196
하이가,47.09308972459802
리베로,46.88520665290955
코트니,46.85153179068675
폴맘,46.82267954039796
피노,46.65879413146637
베이비스토리,46.57637959838395
클로즈,46.437861355687915
파코라반베이비,46.42970425661939
베이비오가닉,46.27125757239193
아이웰,45.99021563534107
첨이첨이,45.8933721978051
메리즈,45.655001346150804
마르마이플러스,45.532040921386766
나비잠,45.341480993616806
에코튜드네이처,45.274751053687936
로한,45.20520693681616
아가똥,45.16482586078725
오가닉맘,45.090494488085334
베이비앙,44.87114854405846
맘스네이처,44.760343301499475
무니,44.711211403940545
쌍용C&B,44.57704712258076
깨끗한나라,44.5120222793558
파라솔,44.392139272554175
아이에이커머스,43.84870222848619
이마트,43.82052034156467
폴라리스,43.798868631193514
베베원,43.71714944190299
암웨이,43.69501340090637
홈플러스,43.59949423456976
쇼콜라,43.52467364456028
신성,43.49554977371922
네띠,43.28416559139997
에뜨와,43.23463711442998
베피스,43.050122655820935
포유,43.04716587892018
압소바,42.90432093152155
킨도,42.8202489276742
베이비앤아이,42.819016780488205
펠트친구,42.475401915192535
캉가케어,42.27651859145169
치쿨,42.25387198093794
조이로이,42.054326377428374
쿠잉,41.89835789890578
GBSTYLE,41.89209987702932
밍크뮤,41.76967279903039
포그니,41.63090241715968
밤부베베,41.18675827272483
벤스랜드,41.04759928161333
무루,40.96737310829603
네츄라오가닉,40.74976479826133
리에또,40.33575577907577
군,40.27188306325284
이오스트,39.87191421686138
메리트산업,39.58430601720463
쿠쉬스,38.82945930152238
바바랩,38.717715450714806
일동아이엠씨,38.490644155903894
GERBER,38.21106882679135
세븐스제너레이션,37.886905896592125
서림,37.841480395786036
코튼리퍼블릭,37.63713133301833
겐키,37.60884604721218
범킨스,37.6074544057682
모이몰른,37.40068482060221
에프랑,36.94365802088982
현대BABY산업,36.231047994399226
드라이퍼스,36.15545070305636
아이티씨,36.003296401812705
오아이비,35.81366978196745
핑고,35.700444095553365
엠케이,35.36802394930696
몰텍스,34.64874629266538
아이두레,34.35890187476904
MK,34.21738282108432
천싸요,34.141985414496204
영림B&A,33.84985111477552
백양산업,32.719601707439914
커클랜드,31.496390793763663
올러브,30.764106028648236
이엔컴퍼니,28.5099779805633
블루독베이비,28.4195255601393
베이비리,27.638932591215625
애플크럼비,27.200214066119454
은홍섬유,27.17012177633606
한빛산업,26.347390064741994
메이커키즈,25.605725725657386
아가짱,21.66570807297115
