제조사,like
후마나,80.46201155028876
오브맘,58.66415368708346
파스퇴르,53.473433967973826
아이배냇,50.610657649882505
아스펜,50.357962851230795
갈리아,50.02350579371535
매일유업,48.60860033392604
남양유업,48.3375984009742
아이엠뉴질랜드,46.271706254922336
일동후디스,46.052871218143146
카브리타,45.76118445053837
뉴트리시아,45.090517557369964
페디아슈어,44.46171109765952
노발락,44.360231095120845
네슬레,44.13162084021277
밀라산,43.82597599760775
Hipp,43.26728874659221
LG생활건강,43.16073997706075
밀루파,43.025410474722534
와코도,42.83703687724342
엔파밀,40.59603366619865
HOLLE,39.47009750916313
뢰벤짠,38.13381285622604
거버,36.29852998165707
퓨어랜드,35.86752875344416
얼스베스트,34.501171736528974
퇴퍼,34.240363893726496
커클랜드,33.80846286006244
메이지,33.09156198447951
벨라미스오가닉,31.948722532062746
네이쳐스원,10.349574340878938
