제조사,like
아이사랑,53.77639262084425
앙팡스,52.99862728705129
다이치,52.43577068812394
그린탐,51.72996109511758
마이크라라이트,51.22187669979708
테크넘,50.9485964235065
아프리카,50.90047647223545
아이캔디,50.486063406335525
차일드홈,50.47182258328085
잉글라차,50.40919742445631
킨즈,49.97175105333259
굿베이비,49.41170969849815
콩코드,49.38838173656944
베이비스타일,48.908077833018645
에그,48.83731955659372
아이쿠,48.69074105905568
카펠라,48.67156681527964
도렐,48.49876850561693
에르고베이비,48.41783101718416
이지워커,48.4043514327836
페도라,48.24250571686929
베이비프라임,48.10256295585732
동방레포츠,48.053475025652716
조이파트너스,47.73046930181042
콤비,47.62248998553141
제인,47.24830968747663
아가방앤컴퍼니,47.22882997067991
구비,47.1734124861677
중모토이플러스,47.11676320809337
아넥스,47.06423018995338
잉글레시나,47.035359115429756
브레비,46.94449001338493
베이비시티,46.796641856069186
실버크로스,46.69006247474106
맥클라렌,46.605761496820655
깜,46.579370713036745
해밀턴,46.37500117355527
부가부,46.27899255048758
인스텝,46.207631273662834
베이비몬스터,46.19237528164138
예떼,46.07228777634555
구름과환경,45.980801452019804
조이,45.92663985234492
로드스타,45.90046148607582
알퐁소,45.88710588867214
나단스,45.82372475306418
마마스앤파파스,45.80145833721409
싸이벡스,45.63713967205012
뉴나,45.529896655900366
리안,45.50421811131275
프시케,45.4772596901735
베이비젠,45.408796169597075
베이비트랜드,45.34471802164718
필앤테즈,45.32335071097992
엔픽스,45.29652962459972
무무브,45.294822506433896
하이브리드,45.286191298745706
오르빗베이비,45.01659675042081
맥시코시,45.00758313703703
리첼,45.0053621458354
베이비조거,44.99933476846136
알로앤루,44.9406101645477
델타,44.910464834401594
밤비노,44.83943055684866
햇님토이,44.81097971048978
톨스토이,44.80658685303969
미마,44.721217693661174
스토케,44.63310004279926
바론,44.60894169905
리틀타익스,44.479874278741946
이븐플로,44.33262837337807
쥬비,44.297784039782364
제로,44.11916343502723
SEEC,44.092568232986444
퀴니,43.97937437398996
한스,43.88307750061434
엘레니어,43.81893312472012
줄즈,43.81343714579112
몽트뢰,43.74546122357646
써니러브,43.73752047063252
세이프티퍼스트,43.68524366124254
그라코,43.43645929669261
포브,43.19874211965426
콜크래프트,43.196972408269005
조코,42.954550101428964
툴레,42.93335846166493
어파베이비,42.85219039289751
ABC,42.73652932589921
뻬그뻬레고,42.59753621123977
린덴,42.497984042505905
에어보스,42.293844223823896
아이엠베이비,42.17948368938695
키디,41.92027824447486
요야,41.77006676565759
해님,41.580255008564585
베이비홈,41.574732274980846
파파앤코,41.572370923177274
킨더웨건,41.532008504481574
아이빌리브,41.271970712393156
샤오미,41.047510999029775
베이비싱,40.846546467837385
아발론,40.80982025637475
코사토,40.72359507285989
스퀴즈,40.6739546648351
세피앙,40.518325841850505
치코,40.48999783079824
GB,40.358200805874546
한일레인보우,40.02862769931442
큐터스,39.90178948697905
마마루,39.836856804511186
마루스,39.64648777731205
브라이택스,39.58609079496767
보브코리아,39.57241889517416
지비,39.54706235803893
무치,39.009214962011725
엠버,38.86439523177784
와이업,38.40839876929211
라스깔라,38.3908765434914
해피랜드F&C,38.10721696610072
쭈쭈베베,37.681055630627306
토이파파,37.628355459121956
레카로,37.25164215164874
실버팍스,36.89908850868554
키즈엠브레이스,36.34166265680426
팔리,36.2456561673177
마리꼬베베,35.884979755041435
세기산업,34.480372206713525
스트롤에어,33.1428854224989
코엔코,31.22154397494151
VOVO,31.063929722572976
베이비캠프,29.402570350148782
belecoo,26.329905848465557
에스디스피드,26.165410645648425
이바겐,25.44174843765545
에이블트레이딩,23.208146705807472
와이케이비앤씨,21.801001854384005
코뮌코리아,21.69717428331042
오타브,21.533536004506256
헨티,15.859959121239303
