제조사,like
매일유업,51.9636184831478
엘빈즈,51.06846174187116
일동후디스,50.00782338222173
팜투베이비,49.932518401353455
남양유업,49.84316494449482
루솔,49.616920098921355
파스퇴르,49.39888263883767
에바토,47.58446090867652
풀무원,46.697409573924695
오가닉맘,46.08736523852674
베베쿡,45.83335007453182
푸드케어,45.814683558993856
아이배냇,45.59357857031142
짱죽,45.361815441487714
네슬레,45.35466890913332
뽀뽀뜨,44.88781353837832
맘스쌀과자,42.77910259495143
비치넛,39.79216635620983
LG생활건강,37.66547042867654
미즈앤코,36.88717804761853
얼스베스트,35.89310171386346
래퍼티스가든,35.446228045662956
